"Freq [GHz]","mag(Z(1,2)) []"
2,61.6243297412066
2.08163265306122,59.6401720003228
2.16326530612245,57.8266617632543
2.24489795918367,56.1658077912238
2.3265306122449,54.6421738801132
2.40816326530612,53.2424494945588
2.48979591836735,51.9551043107654
2.57142857142857,50.7701080199478
2.6530612244898,49.6787019899997
2.73469387755102,48.6732138755909
2.81632653061224,47.7469091629522
2.89795918367347,46.8938713734384
2.97959183673469,46.1088933628634
3.06122448979592,45.3873630601071
3.14285714285714,44.7251600643396
3.22448979591837,44.1185967578776
3.30612244897959,43.5643935150866
3.38775510204082,43.0596523957545
3.46938775510204,42.6018200503473
3.55102040816327,42.1886491648881
3.63265306122449,41.8181650402145
3.71428571428571,41.4886383168765
3.79591836734694,41.1985628100388
3.87755102040816,40.9466373169472
3.95918367346939,40.7317505810235
4.04081632653061,40.5529688704441
4.12244897959184,40.4095258036362
4.20408163265306,40.3008141619584
4.28571428571429,40.2263795006289
4.36734693877551,40.1859154199742
4.44897959183673,40.179260399287
4.53061224489796,40.2063961297409
4.61224489795918,40.2674473135554
4.69387755102041,40.3626829256526
4.77551020408163,40.4925189626199
4.85714285714286,40.6575227329686
4.93877551020408,40.8584187734303
5.02040816326531,41.0960965094135
5.10204081632653,41.3716198148675
5.18367346938775,41.6862386689778
5.26530612244898,42.0414031558791
5.3469387755102,42.4387801107815
5.42857142857143,42.8802727838532
5.51020408163265,43.3680439747582
5.59183673469388,43.9045431895178
5.6734693877551,44.4925384919578
5.75510204081633,45.1351538703385
5.83673469387755,45.8359131234875
5.91836734693878,46.598791499873
6,47.4282766106627
