"Freq [GHz]","dB(S(1,2)) []"
2,-0.142342060747677
2.08163265306122,-0.150014578155361
2.16326530612245,-0.15769142269771
2.24489795918367,-0.165347327085368
2.3265306122449,-0.172957341953127
2.40816326530612,-0.180496936268909
2.48979591836735,-0.187942088465896
2.57142857142857,-0.195269369277134
2.6530612244898,-0.202456017044628
2.73469387755102,-0.209480006136469
2.81632653061224,-0.2163201090128
2.89795918367347,-0.222955952418286
2.97959183673469,-0.229368068135452
3.06122448979592,-0.235537938702012
3.14285714285714,-0.241448038471814
3.22448979591837,-0.24708187037993
3.30612244897959,-0.252423998755547
3.38775510204082,-0.257460078510555
3.46938775510204,-0.262176881015698
3.55102040816327,-0.266562316960121
3.63265306122449,-0.27060545647302
3.71428571428571,-0.274296546768396
3.79591836734694,-0.27762702755539
3.87755102040816,-0.280589544437368
3.95918367346939,-0.283177960503059
4.04081632653061,-0.28538736629272
4.12244897959184,-0.287214088301695
4.20408163265306,-0.288655696162724
4.28571428571429,-0.289711008627791
4.36734693877551,-0.290380098449079
4.44897959183673,-0.290664296238427
4.53061224489796,-0.290566193363997
4.61224489795918,-0.290089643923231
4.69387755102041,-0.289239765811463
4.77551020408163,-0.288022940886854
4.85714285714286,-0.286446814213864
4.93877551020408,-0.284520292349877
5.02040816326531,-0.282253540622718
5.10204081632653,-0.279657979330642
5.18367346938775,-0.276746278781142
5.26530612244898,-0.273532353070556
5.3469387755102,-0.27003135249311
5.42857142857143,-0.266259654455745
5.51020408163265,-0.262234852763892
5.59183673469388,-0.257975745133474
5.6734693877551,-0.253502318775797
5.75510204081633,-0.248835733894816
5.83673469387755,-0.243998304930677
5.91836734693878,-0.239013479379447
6,-0.23390581401672
