"Freq [GHz]","stripWidth [um]","mag(Z(1,2)) []"
2,175.5,53.6604329135152
2,176.135640731544,53.0798457608357
2,179.641368328212,55.8367600305632
2,180.632350566089,53.8539178869992
2,181.565229888318,53.2312089578778
2,182.243430674305,52.6412139884126
2,182.259370228776,52.5821189925714
2,182.285224205483,58.6138309606384
2,182.28986793117,55.6180916316858
2,183.014505974022,52.9417282780493
2,185.04074214866,52.1765149329141
2,190.98639930531,49.7873259873841
2,195,53.2686646050367
2,201.797958150826,52.8152463989666
2.08163265306122,175.5,51.9576191688685
2.08163265306122,176.135640731544,51.3887873970074
2.08163265306122,179.641368328212,54.0751415881741
2.08163265306122,180.632350566089,52.1540743726435
2.08163265306122,181.565229888318,51.557671577483
2.08163265306122,182.243430674305,50.9825610313166
2.08163265306122,182.259370228776,50.9138692547995
2.08163265306122,182.285224205483,56.7605669628826
2.08163265306122,182.28986793117,53.8674821666777
2.08163265306122,183.014505974022,51.2713018467007
2.08163265306122,185.04074214866,50.5177177654773
2.08163265306122,190.98639930531,48.2265410619935
2.08163265306122,195,51.5835050916804
2.08163265306122,201.797958150826,51.1413968527758
2.16326530612245,175.5,50.4031403289174
2.16326530612245,176.135640731544,49.8445229728177
2.16326530612245,179.641368328212,52.4678063166439
2.16326530612245,180.632350566089,50.6029789590483
2.16326530612245,181.565229888318,50.030988984545
2.16326530612245,182.243430674305,49.469287995406
2.16326530612245,182.259370228776,49.3909654403065
2.16326530612245,182.285224205483,55.0693337779283
2.16326530612245,182.28986793117,52.2704692119893
2.16326530612245,183.014505974022,49.7471118165022
2.16326530612245,185.04074214866,49.0031717189798
2.16326530612245,190.98639930531,46.8031466972968
2.16326530612245,195,50.0455585585192
2.16326530612245,201.797958150826,49.6135328510663
2.24489795918367,175.5,48.9813850449933
2.24489795918367,176.135640731544,48.4315777354222
2.24489795918367,179.641368328212,50.998549268388
2.24489795918367,180.632350566089,49.1850188344686
2.24489795918367,181.565229888318,48.63576764906
2.24489795918367,182.243430674305,48.0861293850764
2.24489795918367,182.259370228776,47.9981076399608
2.24489795918367,182.285224205483,53.523100608557
2.24489795918367,182.28986793117,50.8109406511376
2.24489795918367,183.014505974022,48.3538141051228
2.24489795918367,185.04074214866,47.6176800209208
2.24489795918367,190.98639930531,45.5027510171158
2.24489795918367,195,48.6393464139571
2.24489795918367,201.797958150826,48.2163009806739
2.3265306122449,175.5,47.6789709667376
2.3265306122449,176.135640731544,47.1366839855222
2.3265306122449,179.641368328212,49.6534842439433
2.3265306122449,180.632350566089,47.8868072496929
2.3265306122449,181.565229888318,47.3588152833007
2.3265306122449,182.243430674305,46.8200032185925
2.3265306122449,182.259370228776,46.7221819856299
2.3265306122449,182.285224205483,52.1072732512549
2.3265306122449,182.28986793117,49.4750890575246
2.3265306122449,183.014505974022,47.0782487225103
2.3265306122449,185.04074214866,46.3482146859604
2.3265306122449,190.98639930531,44.3130216909649
2.3265306122449,195,47.3516026484951
2.3265306122449,201.797958150826,46.9365396397898
2.40816326530612,175.5,46.4843683389378
2.40816326530612,176.135640731544,45.948408344729
2.40816326530612,179.641368328212,48.4206524048659
