"Freq [GHz]","mag(Z(1,2)) []"
2,58.6138309606384
2.08163265306122,56.7605669628826
2.16326530612245,55.0693337779283
2.24489795918367,53.523100608557
2.3265306122449,52.1072732512549
2.40816326530612,50.8092824364519
2.48979591836735,49.6182536298121
2.57142857142857,48.5247401425399
2.6530612244898,47.5205058877145
2.73469387755102,46.5983473979038
2.81632653061224,45.7519471390085
2.89795918367347,44.9757519592571
2.97959183673469,44.2648718698429
3.06122448979592,43.614995384467
3.14285714285714,43.0223184343207
3.22448979591837,42.4834844843332
3.30612244897959,41.9955339505678
3.38775510204082,41.5558613903384
3.46938775510204,41.1621792302291
3.55102040816327,40.8124870308807
3.63265306122449,40.5050454747707
3.71428571428571,40.2383544146001
3.79591836734694,40.0111344432049
3.87755102040816,39.8223115472215
3.95918367346939,39.671004490827
4.04081632653061,39.5565146464811
4.12244897959184,39.4783180497278
4.20408163265306,39.4360595072059
4.28571428571429,39.4295486330694
4.36734693877551,39.4587577307528
4.44897959183673,39.5238214758976
4.53061224489796,39.6250383936321
4.61224489795918,39.7628741605335
4.69387755102041,39.9379667997323
4.77551020408163,40.1511338780494
4.85714285714286,40.403381858181
4.93877551020408,40.6959178083524
5.02040816326531,41.0301637284042
5.10204081632653,41.4077738171708
5.18367346938775,41.8306550840014
5.26530612244898,42.300991800742
5.3469387755102,42.8212744037491
5.42857142857143,43.3943335940212
5.51020408163265,44.0233805543678
5.59183673469388,44.7120544148973
5.6734693877551,45.4644783640108
5.75510204081633,46.2853261374772
5.83673469387755,47.1799010442013
5.91836734693878,48.1542302324755
6,49.2151776033318
