"Freq [GHz]","dB(S(1,2)) []"
2,-0.1909510711481
2.08163265306122,-0.200796402369357
2.16326530612245,-0.210601085241073
2.24489795918367,-0.220335345164982
2.3265306122449,-0.229969790216867
2.40816326530612,-0.239475510368628
2.48979591836735,-0.248824178226858
2.57142857142857,-0.257988149288444
2.6530612244898,-0.266940560184464
2.73469387755102,-0.275655423759689
2.81632653061224,-0.284107720134415
2.89795918367347,-0.292273483131581
2.97959183673469,-0.300129881638304
3.06122448979592,-0.307655295616796
3.14285714285714,-0.314829386593329
3.22448979591837,-0.321633162541872
3.30612244897959,-0.328049037146476
3.38775510204082,-0.334060883477176
3.46938775510204,-0.339654082151535
3.55102040816327,-0.344815564080312
3.63265306122449,-0.34953384791301
3.71428571428571,-0.35379907230927
3.79591836734694,-0.357603023165811
3.87755102040816,-0.360939155927777
3.95918367346939,-0.363802613108247
4.04081632653061,-0.366190237131277
4.12244897959184,-0.368100578603006
4.20408163265306,-0.369533900102331
4.28571428571429,-0.370492175568367
4.36734693877551,-0.370979085346453
4.44897959183673,-0.371000006938708
4.53061224489796,-0.370562001489001
4.61224489795918,-0.369673796016699
4.69387755102041,-0.368345761398349
4.77551020408163,-0.366589886082573
4.85714285714286,-0.364419745510763
4.93877551020408,-0.361850467205195
5.02040816326531,-0.358898691477187
5.10204081632653,-0.355582527701303
5.18367346938775,-0.35192150609743
5.26530612244898,-0.347936524961305
5.3469387755102,-0.343649793285819
5.42857142857143,-0.339084768720565
5.51020408163265,-0.334266090825574
5.59183673469388,-0.329219509587449
5.6734693877551,-0.323971809181979
5.75510204081633,-0.318550726987211
5.83673469387755,-0.312984867874437
5.91836734693878,-0.307303613832212
6,-0.301537029009514
