"Freq [GHz]","substrateThickness [mm]","stripWidth [um]","dB(S(1,2)) []"
2.48979591836735,0.075,412.601294985413,-0.227029975075829
2.48979591836735,0.075,412.625824229513,-0.226583261951039
2.48979591836735,0.075,414.876298451301,-0.214518307062511
2.48979591836735,0.075,415.461841294666,-0.232574964431874
2.48979591836735,0.075,415.894510629143,-0.246695996380163
2.48979591836735,0.075,416.83239223816,-0.241952556106238
2.48979591836735,0.075,417.45180349737,-0.25438786769144
2.48979591836735,0.075,417.480107973605,-0.224439794764776
2.48979591836735,0.075,417.508807848341,-0.226860837524194
2.48979591836735,0.075,418.1478473107,-0.216518463944736
2.48979591836735,0.075,418.171310885233,-0.225002996744424
2.48979591836735,0.075,418.236708035871,-0.252943588895183
2.48979591836735,0.075,418.245105725659,-0.275990597798392
2.48979591836735,0.075,418.265613059069,-0.210522005726421
2.48979591836735,0.075,418.268201996968,-0.250229184465485
2.48979591836735,0.075,418.320684933751,-0.247517679594491
2.48979591836735,0.075,418.334942247673,-0.270628699857668
2.48979591836735,0.075,418.358077574831,-0.245188921964192
2.48979591836735,0.075,418.498735524361,-0.268924701820295
2.48979591836735,0.075,418.503912692486,-0.243946692180329
2.48979591836735,0.075,419.211061745681,-0.215219494134137
2.48979591836735,0.075,419.440024486627,-0.237713749201191
2.48979591836735,0.075,419.641023833582,-0.246285823275829
2.48979591836735,0.075,420.578905442598,-0.268024514146204
2.48979591836735,0.075,420.743819807329,-0.25282786567539
2.48979591836735,0.075,420.780748521747,-0.246314625355304
2.48979591836735,0.075,423.847591842229,-0.258308632980368
2.48979591836735,0.075,423.872121086329,-0.249926589303425
2.48979591836735,0.075,426.259365481857,-0.235531828787522
2.48979591836735,0.075,434.376298451301,-0.272492515494895
2.57142857142857,0.075,398.736708035871,-0.22808188524187
2.57142857142857,0.075,409.352794016234,-0.237517255321047
2.57142857142857,0.075,410.580366223675,-0.263110232837859
2.57142857142857,0.075,410.793932859758,-0.218745923650622
2.57142857142857,0.075,412.601294985413,-0.238857558045871
2.57142857142857,0.075,412.625824229513,-0.238305862284077
2.57142857142857,0.075,414.876298451301,-0.225617838789731
2.57142857142857,0.075,415.461841294666,-0.244129190907053
2.57142857142857,0.075,415.894510629143,-0.259543896956404
2.57142857142857,0.075,416.83239223816,-0.254657152894065
2.57142857142857,0.075,417.45180349737,-0.267794500476508
2.57142857142857,0.075,417.480107973605,-0.236126975930737
2.57142857142857,0.075,417.508807848341,-0.238603184736882
2.57142857142857,0.075,418.1478473107,-0.227697084784485
2.57142857142857,0.075,418.171310885233,-0.236625848994124
2.57142857142857,0.075,418.236708035871,-0.266143520812861
2.57142857142857,0.075,418.245105725659,-0.290386683339893
2.57142857142857,0.075,418.265613059069,-0.221316043727047
2.57142857142857,0.075,418.268201996968,-0.263273002801421
2.57142857142857,0.075,418.320684933751,-0.260397427382676
2.57142857142857,0.075,418.334942247673,-0.28477698753952
2.57142857142857,0.075,418.358077574831,-0.258044381540455
2.57142857142857,0.075,418.498735524361,-0.283034144892871
2.57142857142857,0.075,418.503912692486,-0.256573931333697
2.57142857142857,0.075,419.211061745681,-0.226315049895322
2.57142857142857,0.075,419.440024486627,-0.250151931637036
2.57142857142857,0.075,419.641023833582,-0.259108130041841
2.57142857142857,0.075,420.578905442598,-0.282046905239328
2.57142857142857,0.075,420.743819807329,-0.266040319293587
2.57142857142857,0.075,420.780748521747,-0.259062894469404
2.57142857142857,0.075,423.847591842229,-0.271862633804834
2.57142857142857,0.075,423.872121086329,-0.26303589331334
2.57142857142857,0.075,426.259365481857,-0.247830781098198
2.57142857142857,0.075,434.376298451301,-0.286792613337841
2.6530612244898,0.075,398.736708035871,-0.239278129452005
2.6530612244898,0.075,409.352794016234,-0.249385538771859
2.6530612244898,0.075,410.580366223675,-0.276268871542138
2.6530612244898,0.075,410.793932859758,-0.22949728968443
2.6530612244898,0.075,412.601294985413,-0.250841497796197
2.6530612244898,0.075,412.625824229513,-0.250174608379167
2.6530612244898,0.075,414.876298451301,-0.236787038394735
2.6530612244898,0.075,415.461841294666,-0.256336296480632
2.6530612244898,0.075,415.894510629143,-0.272547533268965
2.6530612244898,0.075,416.83239223816,-0.267425510924397
2.6530612244898,0.075,417.45180349737,-0.281382359895803
2.6530612244898,0.075,417.480107973605,-0.247963823066799
2.6530612244898,0.075,417.508807848341,-0.250492989209027
2.6530612244898,0.075,418.1478473107,-0.239014885202483
2.6530612244898,0.075,418.171310885233,-0.248389381201467
2.6530612244898,0.075,418.236708035871,-0.27938146664222
2.6530612244898,0.075,418.245105725659,-0.30494603967521
2.6530612244898,0.075,418.265613059069,-0.232238950629791
2.6530612244898,0.075,418.268201996968,-0.276476134943149
2.6530612244898,0.075,418.320684933751,-0.273435695435045
2.6530612244898,0.075,418.334942247673,-0.299090167840223
2.6530612244898,0.075,418.358077574831,-0.271071822586941
2.6530612244898,0.075,418.498735524361,-0.297311229438704
2.6530612244898,0.075,418.503912692486,-0.269342428459175
2.6530612244898,0.075,419.211061745681,-0.237548045023706
2.6530612244898,0.075,419.440024486627,-0.262730210277774
2.6530612244898,0.075,419.641023833582,-0.272084655215521
2.6530612244898,0.075,420.578905442598,-0.29623464387288
2.6530612244898,0.075,420.743819807329,-0.279429884001655
2.6530612244898,0.075,420.780748521747,-0.271951473184025
2.6530612244898,0.075,423.847591842229,-0.285586624251862
2.6530612244898,0.075,423.872121086329,-0.276308880180666
2.6530612244898,0.075,426.259365481857,-0.260286496425791
2.6530612244898,0.075,434.376298451301,-0.301263664406189
2.73469387755102,0.075,398.736708035871,-0.250587927667952
2.73469387755102,0.075,409.352794016234,-0.261389032427458
2.73469387755102,0.075,410.580366223675,-0.289563316590764
2.73469387755102,0.075,410.793932859758,-0.240356985228364
2.73469387755102,0.075,412.601294985413,-0.262966116471054
2.73469387755102,0.075,412.625824229513,-0.262173373758474
2.73469387755102,0.075,414.876298451301,-0.248050632283488
2.73469387755102,0.075,415.461841294666,-0.268636610007961
2.73469387755102,0.075,415.894510629143,-0.285688928397344
2.73469387755102,0.075,416.83239223816,-0.280134725863282
2.73469387755102,0.075,417.45180349737,-0.295133842277787
2.73469387755102,0.075,417.480107973605,-0.259934472175047
2.73469387755102,0.075,417.508807848341,-0.262514225035061
2.73469387755102,0.075,418.1478473107,-0.250456444719511
2.73469387755102,0.075,418.171310885233,-0.260274854314408
2.73469387755102,0.075,418.236708035871,-0.292706424905342
2.73469387755102,0.075,418.245105725659,-0.319645050171242
2.73469387755102,0.075,418.265613059069,-0.243275452139547
2.73469387755102,0.075,418.268201996968,-0.289820253036195
2.73469387755102,0.075,418.320684933751,-0.286614478853134
2.73469387755102,0.075,418.334942247673,-0.313547912094434
2.73469387755102,0.075,418.358077574831,-0.284254415982007
2.73469387755102,0.075,418.498735524361,-0.311735707178428
2.73469387755102,0.075,418.503912692486,-0.282233587192654
2.73469387755102,0.075,419.211061745681,-0.248903206214304
2.73469387755102,0.075,419.440024486627,-0.275439899418634
2.73469387755102,0.075,419.641023833582,-0.285197326225968
2.73469387755102,0.075,420.578905442598,-0.310567543508076
2.73469387755102,0.075,420.743819807329,-0.293080160177603
2.73469387755102,0.075,420.780748521747,-0.284961406678784
2.73469387755102,0.075,423.847591842229,-0.299461827445363
2.73469387755102,0.075,423.872121086329,-0.289727356357058
2.73469387755102,0.075,426.259365481857,-0.272882170733042
2.73469387755102,0.075,434.376298451301,-0.315886074547785
2.81632653061224,0.075,398.736708035871,-0.261995674004585
2.81632653061224,0.075,409.352794016234,-0.273511824693191
2.81632653061224,0.075,410.580366223675,-0.302974465633043
2.81632653061224,0.075,410.793932859758,-0.25130966296691
2.81632653061224,0.075,412.601294985413,-0.27521563099062
2.81632653061224,0.075,412.625824229513,-0.274285923064456
2.81632653061224,0.075,414.876298451301,-0.259406770818079
2.81632653061224,0.075,415.461841294666,-0.281016275400573
2.81632653061224,0.075,415.894510629143,-0.298949985782729
2.81632653061224,0.075,416.83239223816,-0.293197978408723
2.81632653061224,0.075,417.45180349737,-0.309031208246521
2.81632653061224,0.075,417.480107973605,-0.272022919638692
2.81632653061224,0.075,417.508807848341,-0.274650796176456
2.81632653061224,0.075,418.1478473107,-0.262006235104057
2.81632653061224,0.075,418.171310885233,-0.272256999284865
2.81632653061224,0.075,418.236708035871,-0.306135683615491
2.81632653061224,0.075,418.245105725659,-0.334461061352808
2.81632653061224,0.075,418.265613059069,-0.254410152397671
2.81632653061224,0.075,418.268201996968,-0.303286938137408
2.81632653061224,0.075,418.320684933751,-0.299915696495639
2.81632653061224,0.075,418.334942247673,-0.328129952015223
2.81632653061224,0.075,418.358077574831,-0.297575247743833
2.81632653061224,0.075,418.498735524361,-0.326287258583926
2.81632653061224,0.075,418.503912692486,-0.295228704691914
2.81632653061224,0.075,419.211061745681,-0.260365180399048
2.81632653061224,0.075,419.440024486627,-0.288275559461588
2.81632653061224,0.075,419.641023833582,-0.298427985849859
2.81632653061224,0.075,420.578905442598,-0.325025328417392
2.81632653061224,0.075,420.743819807329,-0.306844857960355
2.81632653061224,0.075,420.780748521747,-0.298073584017854
2.81632653061224,0.075,423.847591842229,-0.313469379605018
2.81632653061224,0.075,423.872121086329,-0.303273004657851
2.81632653061224,0.075,426.259365481857,-0.285600898749376
2.81632653061224,0.075,434.376298451301,-0.33064148371583
2.89795918367347,0.075,398.736708035871,-0.273485640333913
2.89795918367347,0.075,409.352794016234,-0.285737924044732
2.89795918367347,0.075,410.580366223675,-0.316483164996605
2.89795918367347,0.075,410.793932859758,-0.262339936587139
2.89795918367347,0.075,412.601294985413,-0.287574179740895
2.89795918367347,0.075,412.625824229513,-0.286495944076193
2.89795918367347,0.075,414.876298451301,-0.270843814883644
2.89795918367347,0.075,415.461841294666,-0.293475679610286
2.89795918367347,0.075,415.894510629143,-0.312312527906594
2.89795918367347,0.075,416.83239223816,-0.306360004002622
2.89795918367347,0.075,417.45180349737,-0.323056625756895
2.89795918367347,0.075,417.480107973605,-0.284213060327911
2.89795918367347,0.075,417.508807848341,-0.286886549017648
2.89795918367347,0.075,418.1478473107,-0.273648650873069
2.89795918367347,0.075,418.171310885233,-0.284274448078855
2.89795918367347,0.075,418.236708035871,-0.319649222032056
2.89795918367347,0.075,418.245105725659,-0.349372028037998
2.89795918367347,0.075,418.265613059069,-0.26562757458636
2.89795918367347,0.075,418.268201996968,-0.316857716973364
2.89795918367347,0.075,418.320684933751,-0.313321233749934
2.89795918367347,0.075,418.334942247673,-0.342816104212545
2.89795918367347,0.075,418.358077574831,-0.311017278635654
2.89795918367347,0.075,418.498735524361,-0.340945529785299
2.89795918367347,0.075,418.503912692486,-0.30830901594199
2.89795918367347,0.075,419.211061745681,-0.271918550894459
2.89795918367347,0.075,419.440024486627,-0.301226020874701
2.89795918367347,0.075,419.641023833582,-0.311758462677591
2.89795918367347,0.075,420.578905442598,-0.339587685051173
2.89795918367347,0.075,420.743819807329,-0.320718698686456
2.89795918367347,0.075,420.780748521747,-0.311268820714481
2.89795918367347,0.075,423.847591842229,-0.327590365353561
2.89795918367347,0.075,423.872121086329,-0.316927427719176
2.89795918367347,0.075,426.259365481857,-0.298425704689364
2.89795918367347,0.075,434.376298451301,-0.345514770107359
2.97959183673469,0.075,398.736708035871,-0.2850420113139
2.97959183673469,0.075,409.352794016234,-0.298051288756897
2.97959183673469,0.075,410.580366223675,-0.330070211645154
2.97959183673469,0.075,410.793932859758,-0.273432402115542
2.97959183673469,0.075,412.601294985413,-0.30002584923917
2.97959183673469,0.075,412.625824229513,-0.298787078673746
2.97959183673469,0.075,414.876298451301,-0.282347672212328
2.97959183673469,0.075,415.461841294666,-0.306002668134276
2.97959183673469,0.075,415.894510629143,-0.325758333778556
2.97959183673469,0.075,416.83239223816,-0.319606365134499
2.97959183673469,0.075,417.45180349737,-0.337192210693783
2.97959183673469,0.075,417.480107973605,-0.296488723652107
2.97959183673469,0.075,417.508807848341,-0.299205288004325
2.97959183673469,0.075,418.1478473107,-0.285368038756521
2.97959183673469,0.075,418.171310885233,-0.2962728577715
2.97959183673469,0.075,418.236708035871,-0.333226030504942
2.97959183673469,0.075,418.245105725659,-0.364356321776671
2.97959183673469,0.075,418.265613059069,-0.276912201914363
2.97959183673469,0.075,418.268201996968,-0.330514096885618
2.97959183673469,0.075,418.320684933751,-0.326812981457021
2.97959183673469,0.075,418.334942247673,-0.357586288808895
2.97959183673469,0.075,418.358077574831,-0.324563036409722
2.97959183673469,0.075,418.498735524361,-0.355690168645452
2.97959183673469,0.075,418.503912692486,-0.321455735580477
2.97959183673469,0.075,419.211061745681,-0.28354785589241
2.97959183673469,0.075,419.440024486627,-0.314275223154455
2.97959183673469,0.075,419.641023833582,-0.325170660911041
2.97959183673469,0.075,420.578905442598,-0.354234310716215
2.97959183673469,0.075,420.743819807329,-0.334687187774765
2.97959183673469,0.075,420.780748521747,-0.324527919388746
2.97959183673469,0.075,423.847591842229,-0.341805852014869
2.97959183673469,0.075,423.872121086329,-0.330672189101358
2.97959183673469,0.075,426.259365481857,-0.311339572673514
2.97959183673469,0.075,434.376298451301,-0.360500817144482
3.06122448979592,0.075,398.736708035871,-0.296648919228113
3.06122448979592,0.075,409.352794016234,-0.310435855708925
3.06122448979592,0.075,410.580366223675,-0.343716305733652
3.06122448979592,0.075,410.793932859758,-0.284571655510743
3.06122448979592,0.075,412.601294985413,-0.312554700587028
3.06122448979592,0.075,412.625824229513,-0.311142952754074
3.06122448979592,0.075,414.876298451301,-0.293903465643735
3.06122448979592,0.075,415.461841294666,-0.318581921533056
3.06122448979592,0.075,415.894510629143,-0.339269175088494
3.06122448979592,0.075,416.83239223816,-0.332921494298142
3.06122448979592,0.075,417.45180349737,-0.351420065214347
