"Freq [GHz]","mag(Z(1,2)) []"
2,76.4430952467947
2.08163265306122,73.6648641391192
2.16326530612245,71.1057858213428
2.24489795918367,68.7420908648664
2.3265306122449,66.5534425780485
2.40816326530612,64.5226857478778
2.48979591836735,62.6352997766189
2.57142857142857,60.8685416632867
2.6530612244898,59.2230842803721
2.73469387755102,57.6843913479253
2.81632653061224,56.2429336979622
2.89795918367347,54.8905659392508
2.97959183673469,53.6200817534616
3.06122448979592,52.4250542485382
3.14285714285714,51.2997302171326
3.22448979591837,50.2389444148222
3.30612244897959,49.2380471495992
3.38775510204082,48.2928424249999
3.46938775510204,47.399534816089
3.55102040816327,46.5546836652478
3.63265306122449,45.7551634504468
3.71428571428571,44.9981293809015
3.79591836734694,44.2809874364935
3.87755102040816,43.6013681983321
3.95918367346939,42.9571039248321
4.04081632653061,42.3462084154837
4.12244897959184,41.7668592767897
4.20408163265306,41.2173822646266
4.28571428571429,40.696237426865
4.36734693877551,40.2020068113752
4.44897959183673,39.7333835390307
4.53061224489796,39.2891620702395
4.61224489795918,38.8682295178537
4.69387755102041,38.4695578798305
4.77551020408163,38.0921970823956
4.85714285714286,37.7352687392078
4.93877551020408,37.3979605445949
5.02040816326531,37.0795212296631
5.10204081632653,36.7792560192779
5.18367346938775,36.4965225358156
5.26530612244898,36.2307271023941
5.3469387755102,35.9813214041689
5.42857142857143,35.7477994713799
5.51020408163265,35.5296949522601
5.59183673469388,35.3265786477763
5.6734693877551,35.1380562835441
5.75510204081633,34.9637664972145
5.83673469387755,34.8033790222331
5.91836734693878,34.6565930511615
6,34.5231357637923
